,日期,上证50,用友网络,紫金矿业,中国平安,中国建筑,海通证券,中国中免,新华保险,中国石化,浦发银行,恒生电子,通威股份,山西汾酒,上汽集团,航发动力,伊利股份,长城汽车,保利发展,恒瑞医药,隆基股份,兴业银行,中国人寿,中国太保,国泰君安,工商银行,中国联通,长江电力,贵州茅台,兆易创新,海尔智家,中金公司,万华化学,华泰证券,三一重工,中信证券,海天味业,工业富联,中远海控,中信建投,中国电信,片仔癀,中国神华,山东黄金,闻泰科技,招商银行,药明康德,海螺水泥,中国石油,韦尔股份,农业银行,复星医药
1,2020/09/02,3347.30,43.54,7.13,75.93,5.10,14.95,223.00,59.38,4.00,10.18,110.48,25.22,196.18,18.91,43.00,41.60,15.95,16.27,94.70,68.01,16.32,44.08,30.66,19.31,4.92,5.13,19.65,1795.00,196.92,21.90,37.70,73.50,21.60,23.21,31.90,198.48,14.77,5.37,52.31,6.11,272.88,15.96,28.88,137.06,37.20,109.89,59.70,4.35,170.40,3.19,53.30
2,2020/09/03,3334.41,42.22,7.06,75.39,5.07,14.84,224.30,58.69,3.99,10.12,109.00,24.29,198.01,19.21,43.50,41.55,15.55,16.40,95.00,66.45,16.28,43.41,30.50,19.04,4.91,5.12,20.02,1793.00,202.47,21.30,41.47,75.80,21.37,23.78,31.52,185.00,14.51,5.59,52.02,5.50,265.96,16.10,28.33,136.03,36.98,108.13,59.57,4.31,186.12,3.17,52.92
3,2020/09/04,3309.21,40.93,7.00,74.82,5.05,14.67,219.80,58.10,3.98,10.07,106.50,23.78,193.88,19.26,42.87,40.98,15.89,16.47,93.51,66.40,16.12,42.50,30.18,18.78,4.90,5.09,20.01,1770.00,204.06,21.30,44.30,77.50,21.27,23.18,31.04,170.79,14.17,5.58,51.08,4.95,245.86,16.17,28.46,137.33,36.80,105.22,59.45,4.31,187.10,3.16,52.60
4,2020/09/07,3253.43,39.58,7.09,75.06,5.01,14.33,209.28,56.80,3.96,10.01,102.90,23.15,190.25,19.40,40.99,40.38,16.35,16.61,91.60,62.52,16.19,40.70,30.10,18.52,4.90,5.06,20.08,1723.50,185.51,21.09,47.20,72.88,20.73,22.41,29.91,161.68,13.94,5.80,48.48,4.83,244.21,16.07,27.72,136.58,36.79,100.46,58.28,4.28,182.00,3.14,49.88
5,2020/09/08,3289.91,39.60,7.04,77.14,5.11,14.80,204.20,61.20,3.97,10.05,103.53,24.04,187.93,20.04,40.28,39.88,16.78,16.61,92.33,63.50,16.51,43.09,31.02,19.02,4.95,5.12,20.00,1711.40,185.78,21.30,51.92,73.68,21.08,23.38,30.65,168.50,14.21,6.04,50.78,4.71,238.47,16.49,27.21,126.59,37.59,100.88,58.86,4.31,177.05,3.18,50.52
6,2020/09/09,3235.70,37.61,6.73,76.48,5.04,14.49,197.18,60.24,3.94,10.01,100.85,23.00,188.08,19.20,39.92,39.17,16.95,16.40,90.30,62.85,16.32,42.70,30.33,18.70,4.94,5.08,19.99,1688.00,176.00,20.91,57.11,69.70,20.69,22.39,30.09,158.90,13.91,6.07,50.43,4.61,227.55,16.26,27.04,117.30,37.60,98.18,57.70,4.28,171.31,3.17,48.11
7,2020/09/10,3245.50,37.92,6.98,76.52,5.03,14.26,205.60,60.80,3.92,9.96,101.04,22.51,196.67,19.14,40.30,38.82,17.04,16.77,90.74,63.91,16.24,44.07,30.61,18.41,4.91,5.04,20.07,1705.80,174.50,21.32,60.11,71.80,20.34,22.86,30.00,160.21,13.56,5.99,50.77,4.64,242.41,16.28,26.87,117.01,37.70,97.89,57.85,4.24,174.11,3.16,48.41
8,2020/09/11,3265.50,38.41,6.91,77.21,5.02,14.32,207.21,60.46,3.91,9.92,101.41,24.76,210.02,18.99,40.75,38.84,17.27,16.58,91.81,69.82,16.13,44.58,30.72,18.33,4.93,5.03,20.36,1733.00,178.90,21.28,59.60,72.15,20.29,23.07,30.09,161.14,13.62,5.80,51.03,4.56,262.05,15.99,27.04,120.18,37.24,98.20,58.00,4.24,187.72,3.16,48.41
9,2020/09/14,3294.15,38.50,7.14,78.55,5.03,14.32,214.30,58.43,3.92,9.90,102.19,25.00,211.60,19.43,39.93,39.02,17.04,16.55,91.36,72.82,16.12,44.09,30.46,18.35,4.93,5.06,20.90,1766.00,178.03,22.00,56.22,74.08,20.27,22.94,30.05,159.00,13.85,5.64,51.25,4.58,254.00,16.06,27.05,122.20,37.35,97.60,59.19,4.26,191.00,3.16,47.75
10,2020/09/15,3317.64,38.95,7.17,79.91,5.06,14.30,222.58,60.42,3.92,9.86,100.50,25.00,209.85,19.67,40.25,39.93,17.23,16.66,91.10,71.97,16.09,44.18,30.42,18.41,4.92,5.03,20.59,1760.00,180.50,22.13,57.20,75.40,20.43,24.02,30.22,162.40,13.73,5.72,51.43,4.56,250.20,16.06,27.64,123.49,37.90,98.70,59.19,4.24,188.54,3.16,49.68
