,达人,粉丝数,销售额,销售量,商品数,观看人次,人次峰值,地区
0,水木夫妻严选服饰,645342,1969173.0,15806,60,284874,2597,北京市
1,交个朋友设计师品牌服装,97746,1882935.3,8706,37,451107,1981,北京市
2,Redmi红米直播间（每天8点开播）,98997,1390028.38,951,89,108431,490,北京市
3,水木夫妻严选服饰,645342,1354744.0,10739,52,190548,2409,北京市
4,水木夫妻严选服饰,645342,1238094.0,9773,63,203935,2177,北京市
5,抖音支付,12492636,1127972.9,16447,57,311492,5627,北京市
6,浒城古娘原创中国风设计品牌旗舰店,2592876,1121104.0,2755,91,167101,1971,北京市
7,浒城古娘原创中国风设计品牌旗舰店,2592876,1053640.0,2191,106,229884,1960,北京市
8,宝洁家庭清洁旗舰店,343687,1018081.0,9248,65,109010,638,北京市
9,浒城古娘原创中国风设计品牌旗舰店,2592876,1001903.0,2341,116,173224,1936,北京市
10,交个朋友通勤商务男装,57419,994077.88,12105,49,369727,3458,北京市
11,水木夫妻严选服饰,645342,977428.0,8180,62,191752,2238,北京市
12,胖虎萱萱二手箱包,63551,973326.0,314,91,42869,608,北京市
13,包文婧,4413775,856171.88,26671,82,999657,11171,北京市
14,浒城古娘原创中国风设计品牌旗舰店,2592876,844381.6,1359,84,192139,2179,北京市
15,亮橙中古（盛唐晓晓）,22998,797558.1,174,133,22614,424,北京市
16,包文婧,4413775,774587.57,22936,82,1022997,11628,北京市
17,唐琳设计师品牌,300393,773150.25,850,32,33916,187,北京市
18,燕莎友谊商城,91663,761949.24,3977,75,81594,1231,北京市
19,京东超市,1360035,747918.2,8203,44,401371,2499,北京市
20,浒城古娘原创中国风设计品牌旗舰店,2592876,734065.75,1363,192,111398,1448,北京市
21,陶然reset,1176983,697817.1,1237,27,38584,627,北京市
22,红布林小麦,45259,679466.16,495,157,71356,1250,北京市
23,Redmi红米直播间（每天8点开播）,98997,677704.22,527,96,64714,175,北京市
24,宝洁家庭清洁旗舰店,343687,674408.5,6367,65,68418,1882,北京市
25,歌德老酒行,293060,667516.33,582,118,68291,517,北京市
26,燕莎友谊商城,91663,657225.39,4058,96,86949,898,北京市
27,胖虎萱萱二手箱包,63551,649556.0,151,97,28028,425,北京市
28,华熙生物,1393191,635502.6,2055,23,115908,358,北京市
29,JOYTOY暗源官方直播间,137035,628696.66,1531,44,43614,1005,北京市
30,亮橙中古（盛唐晓晓）,22998,600579.0,562,172,36958,855,北京市
31,亮橙中古（盛唐晓晓）,22998,560002.34,313,164,19245,383,北京市
32,盛唐二奢白菜村,84798,546472.3,135,65,24329,971,北京市
33,亮橙中古（盛唐晓晓）,22998,539442.48,700,200,19025,268,北京市
34,华熙生物,1393191,519254.8,1764,23,111113,195,北京市
35,主持人周洲,5036674,514019.72,2619,32,141825,1095,北京市
36,是梦文呀🍬,41337,507766.64,10899,110,179583,2547,北京市
37,歌德老酒行,293060,506403.35,610,105,68208,462,北京市
38,胖虎萱萱二手箱包,63551,500364.0,145,79,35302,505,北京市
39,包文婧,4413775,461623.52,15994,87,742918,12344,北京市
40,歌德老酒行,293060,456871.76,472,108,62472,541,北京市
41,华熙生物,1393191,455787.4,1521,20,102908,257,北京市
42,盛唐二奢白菜村,84798,454082.7,153,84,19465,568,北京市
43,朗姿官方旗舰店,336140,449946.0,499,51,45169,160,北京市
44,亮橙中古（盛唐晓晓）,22998,445309.8,532,188,38635,1334,北京市
45,京东超市,1360035,443761.68,4609,97,193168,749,北京市
46,包文婧,4413775,442316.01,13079,82,451271,11507,北京市
47,大华在北漂,1386385,440144.53,11916,111,276138,7076,北京市
48,包文婧,4413775,435698.07,12525,64,549642,12606,北京市
49,华熙生物,1393191,426766.0,1429,17,103763,175,北京市
50,歌德老酒行直播间,384109,413136.15,556,115,50808,354,北京市
51,大华在北漂,1386385,411469.53,12308,102,246064,4951,北京市
52,维达旗舰店,1423506,410165.3,7065,20,542095,2110,北京市
53,Redmi红米直播间（每天8点开播）,98997,399239.23,463,89,58973,373,北京市
54,朗姿官方旗舰店,336140,396224.0,281,53,41098,109,北京市
55,维达旗舰店,1423506,395854.6,6241,21,387131,1717,北京市
56,李享,836512,392594.63,3452,76,97587,1591,北京市
57,华熙生物,1393191,391444.0,1290,22,92957,184,北京市
58,喵喵机家族,193649,390261.45,664,11,33964,356,北京市
59,京东电脑数码,200304,388912.5,380,93,33452,251,北京市
60,大华在北漂,1386385,383570.97,9745,114,285215,7461,北京市
61,桂先学姐（北大姐妹花）早6点直播家庭教育,5217058,382501.34,517,5,116403,6793,北京市
62,美臀黄建,564572,381561.41,2093,31,127276,10750,北京市
63,联合利华官方旗舰店,229320,378945.6,3854,14,98193,147,北京市
64,陶然reset,1176983,377601.0,878,27,25120,551,北京市
65,宝洁家庭清洁旗舰店,343687,376775.3,3583,65,42396,1764,北京市
66,来哥,331978,375775.0,625,8,39127,1794,北京市
67,桂先学姐（北大姐妹花）早6点直播家庭教育,5217058,374637.49,631,7,145162,7344,北京市
68,包文婧,4413775,374375.85,10613,79,391324,11836,北京市
69,胖虎萱萱二手箱包,63551,373131.4,101,87,30185,483,北京市
70,老王（珠宝文玩）,143223,372532.69,3286,197,145268,1883,北京市
71,Redmi红米直播间（每天8点开播）,98997,369826.07,464,98,47476,464,北京市
72,李享,836512,364873.48,1462,34,58862,1039,北京市
73,大华在北漂,1386385,362919.1,9305,95,206998,3352,北京市
74,润百颜官方旗舰店,316349,362477.0,1201,26,49281,127,北京市
75,歌德老酒行,293060,359155.89,588,98,64749,517,北京市
76,美臀黄建,564572,357203.05,1895,31,155056,7895,北京市
77,桂先学姐（北大姐妹花）早6点直播家庭教育,5217058,356914.8,664,4,128212,6922,北京市
78,交个朋友水果和营养膳食,115183,351992.46,8990,35,269848,2294,北京市
79,修芝堂旗舰店,80779,351483.93,960,10,20735,120,北京市
80,盛唐二奢白菜村,84798,345395.0,69,75,13151,374,北京市
81,宝洁家庭清洁旗舰店,343687,342945.6,3342,66,34171,1721,北京市
82,崇云数码官方旗舰店,117518,340542.11,120,36,32525,70,北京市
83,朗姿官方旗舰店,336140,339206.0,328,66,37903,106,北京市
84,主持人周洲,5036674,336770.44,9528,50,271528,2492,北京市
85,维达旗舰店,1423506,336704.1,5562,20,456367,1563,北京市
86,猜礼物,644161,335272.93,540,72,22595,209,北京市
87,歌德老酒行,293060,335083.38,482,111,61910,460,北京市
88,歌德老酒行直播间,384109,333125.31,496,105,51791,429,北京市
89,宝洁家庭清洁旗舰店,343687,331346.0,3008,66,32737,84,北京市
90,盛唐二奢白菜村,84798,328326.9,81,101,15741,507,北京市
91,小仙炖鲜炖燕窝,275165,325375.76,128,14,13125,30,北京市
92,维达旗舰店,1423506,323654.5,5294,21,288891,1041,北京市
93,学魁图书,915044,322636.35,1168,4,204618,1059,北京市
94,Redmi红米直播间（每天8点开播）,98997,320793.58,241,87,52243,185,北京市
95,luckin coffee 瑞幸咖啡,481154,320773.1,8221,24,302469,1606,北京市
96,美臀黄建,564572,318459.25,2805,34,144671,13070,北京市
97,维维俏生活,332591,315252.55,414,56,31359,484,北京市
98,团油加油券,160004,313809.1,1577,11,66935,553,北京市
99,luckin coffee 瑞幸咖啡,481154,311673.3,7904,24,278647,1820,北京市
100,歌德老酒行直播间,384109,308667.17,621,102,57122,486,北京市
101,朗姿官方旗舰店,336140,305132.0,227,59,30854,78,北京市
102,学魁图书,915044,304226.8,1085,4,94590,440,北京市
103,朗姿官方旗舰店,336140,303250.0,251,52,29782,98,北京市
104,修芝堂旗舰店,80779,302621.8,823,8,14346,119,北京市
105,陶然reset,1176983,300019.0,734,20,18801,655,北京市
106,Redmi红米直播间（每天8点开播）,98997,299110.17,258,86,46735,205,北京市
107,yy的小喜欢,62286,298846.0,810,36,55157,723,北京市
108,麻六记,448884,295672.34,15434,33,633202,4139,北京市
109,luckin coffee 瑞幸咖啡,481154,294677.82,7624,20,231466,1016,北京市
110,盛唐二奢白菜村,84798,294471.0,129,67,16719,414,北京市
111,古恒堂书画院,33278,293111.0,38,127,67592,1784,北京市
112,东方甄选,388945,290755.45,7783,105,268286,1472,北京市
113,润百颜官方旗舰店,316349,290480.0,985,22,44277,180,北京市
114,桂先学姐（北大姐妹花）早6点直播家庭教育,5217058,286624.77,474,5,101480,7079,北京市
115,喵喵机家族,193649,286574.4,492,11,31238,381,北京市
116,学魁图书,915044,285888.7,1047,4,67650,401,北京市
117,东方甄选,388945,281888.47,7850,113,221406,1284,北京市
118,小仙炖鲜炖燕窝,275165,281189.68,141,14,15429,45,北京市
119,迟锐,2036847,280626.9,2768,93,163150,1645,北京市
120,浒城古娘原创中国风设计品牌旗舰店,2592876,279590.0,705,53,65949,597,北京市
121,浒城古娘原创中国风设计品牌旗舰店,2592876,279365.9,653,72,67513,734,北京市
122,五个女博士,15327,278588.0,410,9,28062,162,北京市
123,崇云数码官方旗舰店,117518,277320.49,94,36,35376,75,北京市
124,泡泡玛特官方旗舰店,162403,277180.15,1583,41,84971,584,北京市
125,大华在北漂,1386385,276750.16,10037,93,214541,5207,北京市
126,维达旗舰店,1423506,275138.8,4749,21,362974,2096,北京市
127,水井坊官方旗舰店,23557,272409.0,230,19,24577,168,北京市
